,customer_id,customer_age,job_type,balance,having_loan,last_contact_duration,prev_campaign_outcome,num_contacts_in_campaign,num_contacts_prev_campaign,Predication
0,id_1895,33.0,9,804.0,0,826,2,3.0,1,1
1,id_33092,46.0,11,637.0,1,955,2,1.0,4,1
2,id_45113,62.0,7,5267.0,0,984,0,3.0,0,1
3,id_12016,37.0,10,2645.0,0,740,2,1.0,1,1
4,id_6592,29.0,8,339.0,0,689,2,1.0,1,1
5,id_28143,35.0,10,253.0,0,971,2,2.0,10,1
6,id_30565,57.0,10,319.0,0,782,2,1.0,3,1
7,id_32954,39.0,10,5309.0,1,697,2,2.0,4,1
8,id_29427,74.0,7,2696.0,0,913,2,5.0,2,1
9,id_27613,37.0,1,981.0,0,663,2,3.0,3,1
10,id_6688,45.0,5,367.0,0,972,2,1.0,5,1
11,id_31217,31.0,3,15.0,0,902,2,1.0,4,1
12,id_19505,19.0,4,215.0,0,882,2,1.0,7,1
13,id_4860,31.0,4,1380.9144538914322,0,916,2,6.0,1,1
14,id_37455,32.0,10,13015.0,0,983,2,1.0,1,1
15,id_43182,95.0,7,1231.0,0,964,0,1.0,0,1
16,id_10570,31.0,10,1773.0,0,880,2,1.0,1,1
17,id_19913,33.0,10,2649.0,0,740,2,1.0,10,1
18,id_24524,79.0,3,497.0,0,951,0,4.0,0,1
19,id_25827,57.0,7,4011.0,0,941,1,2.0,4,1
20,id_10735,20.0,4,215.0,0,987,2,1.0,1,1
21,id_31956,27.0,10,4458.0,0,956,0,5.0,0,1
22,id_12218,28.0,10,1715.0,0,769,2,1.0,4,1
23,id_15679,47.0,1,922.0,0,802,2,2.0,10,1
24,id_17933,74.0,7,1380.9144538914322,0,940,0,1.0,0,1
25,id_39858,60.0,10,5045.0,0,902,2,7.0,1,1
26,id_24756,46.0,11,1563.0,1,976,2,1.0,7,1
27,id_43803,33.0,1,417.0,0,902,2,2.0,2,1
28,id_39278,86.0,7,81208.0,0,935,2,1.0,3,1
29,id_28634,32.0,11,135.0,0,706,2,1.0,3,1
30,id_30092,26.0,2,160.0,0,739,3,2.0,2,1
31,id_31705,41.0,10,487.0,0,961,2,2.0,6,1
32,id_44473,28.0,1,690.0,0,745,3,2.0,6,1
33,id_41790,62.0,10,2356.0,0,714,2,3.0,13,1
34,id_27,75.0,7,3412.0,0,894,2,1.0,1,1
35,id_20208,29.0,4,61.0,0,950,1,2.0,3,1
36,id_17244,31.0,10,532.0,0,984,2,1.0,9,1
37,id_31807,33.0,10,311.0,0,1001,2,1.0,3,1
38,id_39541,58.0,10,873.0,0,892,2,1.0,1,1
39,id_23546,40.575475409836066,8,8.0,0,677,2,4.0,6,1
40,id_18261,26.0,4,5169.0,1,780,2,1.0,3,1
41,id_34158,30.0,10,1629.0,0,775,2,1.0,1,1
42,id_39385,30.0,4,1539.0,0,986,2,1.0,3,1
43,id_15877,36.0,11,1380.9144538914322,0,768,2,2.0,1,1
44,id_35230,60.0,7,3114.0,0,888,2,2.0,1,1
45,id_42117,71.0,7,423.0,0,958,2,1.0,1,1
46,id_37614,28.0,11,1.0,0,669,2,1.0,1,1
47,id_31376,37.0,1,1291.0,0,809,2,1.0,2,1
48,id_25310,68.0,7,2535.0,0,769,2,3.0,9,1
49,id_40395,29.0,1,2420.0,0,710,1,1.0,1,1
50,id_36506,23.0,4,618.0,0,884,2,1.0,1,1
51,id_43909,31.0,8,1850.0,0,970,3,1.0,3,1
52,id_14428,57.0,1,7465.0,0,973,1,1.0,1,1
53,id_25695,40.575475409836066,10,545.0,0,663,2,3.0,9,1
54,id_27646,61.0,7,3439.0,0,804,2,1.0,2,1
55,id_26349,67.0,7,3408.0,0,980,0,2.0,0,1
56,id_25077,39.0,4,595.0,1,765,2,1.0,2,1
57,id_28707,57.0,9,1940.0,1,969,2,1.0,4,1
58,id_40004,32.0,10,148.0,0,770,2,3.0,5,1
59,id_26720,73.0,7,1289.0,0,720,1,5.0,2,1
60,id_18346,33.0,5,132.0,1,671,2,1.0,1,1
61,id_20589,78.0,7,7800.0,0,902,2,1.0,2,1
62,id_4960,31.0,9,656.0,0,910,2,1.0,2,1
63,id_11187,54.0,11,6116.0,0,906,2,1.0,1,1
64,id_563,62.0,10,266.0,0,732,2,3.0,1,1
65,id_14628,29.0,11,2809.0,0,738,3,1.0,5,1
